MLFQ:
first_quantum: 100,  quantum_rate: 2, queue_num-1: 3
-----------------------------------------------------------------------------------------------------
average jct:  6.949913131313132
execution order:  [2, 5, 6, 7, 16, 21, 22, 23, 28, 29, 32, 36, 37, 39, 41, 46, 50, 51, 58, 59, 61, 62, 65, 66, 72, 75, 79, 80, 81, 83, 84, 88, 89, 90, 95, 97, 1, 3, 4, 8, 10, 11, 14, 15, 18, 26, 27, 35, 43, 44, 48, 49, 52, 54, 63, 70, 73, 74, 82, 87, 94, 96, 98, 2, 12, 13, 17, 24, 31, 33, 40, 47, 53, 64, 68, 69, 76, 91, 99, 9, 19, 20, 25, 30, 34, 38, 42, 45, 55, 56, 57, 60, 67, 71, 77, 78, 85, 86, 92, 93, 5, 6, 7, 16, 21, 22, 23, 28, 29, 32, 36, 37, 39, 41, 46, 50, 51, 58, 59, 61, 62, 65, 66, 72, 75, 79, 80, 81, 83, 84, 88, 89, 90, 95, 97, 1, 3, 4, 8, 10, 11, 14, 15, 18, 26, 27, 35, 43, 44, 48, 49, 52, 54, 63, 70, 73, 74, 82, 87, 94, 96, 98, 12, 13, 17, 24, 31, 33, 40, 47, 53, 64, 68, 69, 76, 91, 99, 9, 19, 20, 25, 30, 34, 38, 42, 45, 55, 56, 57, 60, 67, 71, 77, 78, 85, 86, 92, 93, 39, 41, 59, 61, 66, 72, 79, 80, 81, 95, 97, 44, 48, 41, 66, 80]
JCT:
id: 2, jct: 1.3052
id: 5, jct: 7.0601
id: 6, jct: 6.5242
id: 7, jct: 8.5992
id: 16, jct: 6.508
id: 21, jct: 1.413
id: 22, jct: 2.0921
id: 23, jct: 9.6088
id: 28, jct: 2.7218
id: 29, jct: 9.1827
id: 32, jct: 1.1432
id: 36, jct: 4.0316
id: 37, jct: 2.4589
id: 46, jct: 7.3823
id: 50, jct: 1.9367
id: 51, jct: 8.4966
id: 58, jct: 3.3844
id: 62, jct: 7.1262
id: 65, jct: 6.6072
id: 75, jct: 8.5899
id: 83, jct: 5.3875
id: 84, jct: 5.047
id: 88, jct: 0.7792
id: 89, jct: 2.4487
id: 90, jct: 1.5128
id: 1, jct: 2.5908
id: 3, jct: 3.4433
id: 4, jct: 2.2188
id: 8, jct: 14.9348
id: 10, jct: 2.4173
id: 11, jct: 2.7342
id: 14, jct: 20.2598
id: 15, jct: 2.1242
id: 18, jct: 17.4779
id: 26, jct: 0.6291
id: 27, jct: 6.587
id: 35, jct: 2.7895
id: 43, jct: 2.1675
id: 49, jct: 20.0611
id: 52, jct: 2.3772
id: 54, jct: 10.9997
id: 63, jct: 19.0976
id: 70, jct: 6.0496
id: 73, jct: 3.6804
id: 74, jct: 12.8991
id: 82, jct: 8.1594
id: 87, jct: 4.8891
id: 94, jct: 18.6701
id: 96, jct: 7.8744
id: 98, jct: 17.6575
id: 12, jct: 1.3945
id: 13, jct: 6.4907
id: 17, jct: 6.1535
id: 24, jct: 6.3593
id: 31, jct: 31.7574
id: 33, jct: 15.3051
id: 40, jct: 0.9129
id: 47, jct: 17.2771
id: 53, jct: 75.068
id: 64, jct: 4.3083
id: 68, jct: 15.5001
id: 69, jct: 26.1621
id: 76, jct: 16.4274
id: 91, jct: 7.8036
id: 99, jct: 0.2073
id: 9, jct: 2.5752
id: 19, jct: 1.2085
id: 20, jct: 0.1543
id: 25, jct: 0.2648
id: 30, jct: 4.2015
id: 34, jct: 12.592
id: 38, jct: 7.6434
id: 42, jct: 0.5429
id: 45, jct: 1.4443
id: 55, jct: 2.3595
id: 56, jct: 0.712
id: 57, jct: 2.1384
id: 60, jct: 0.2092
id: 67, jct: 3.137
id: 71, jct: 1.3132
id: 77, jct: 5.1008
id: 78, jct: 0.9246
id: 85, jct: 1.4294
id: 86, jct: 2.7419
id: 92, jct: 0.2656
id: 93, jct: 3.1149
id: 39, jct: 5.7509
id: 59, jct: 0.2039
id: 61, jct: 2.7709
id: 72, jct: 6.7489
id: 79, jct: 11.0903
id: 81, jct: 5.9594
id: 95, jct: 7.1934
id: 97, jct: 13.7634
id: 44, jct: 1.8904
id: 48, jct: 2.9411
id: 41, jct: 5.587
id: 66, jct: 4.5491
id: 80, jct: 0.2553
