FCFS:
first_quantum: --,  quantum_rate: --, queue_num: --
-----------------------------------------------------------------------------------------------------
average jct:  9.38972222222222
execution order:  [1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 88, 89, 90, 91, 92, 93, 94, 95, 96, 97, 98, 99]
JCT:
id: 1, jct: 2.7478
id: 2, jct: 1.4086
id: 3, jct: 3.6065
id: 4, jct: 2.3737
id: 5, jct: 7.1545
id: 6, jct: 6.6095
id: 7, jct: 8.7053
id: 8, jct: 15.0535
id: 9, jct: 3.4965
id: 10, jct: 2.5434
id: 11, jct: 2.8616
id: 12, jct: 1.649
id: 13, jct: 6.8168
id: 14, jct: 20.394
id: 15, jct: 2.3082
id: 16, jct: 6.582
id: 17, jct: 6.3661
id: 18, jct: 17.6633
id: 19, jct: 1.6348
id: 20, jct: 0.553
id: 21, jct: 1.5269
id: 22, jct: 2.1962
id: 23, jct: 9.6955
id: 24, jct: 6.5644
id: 25, jct: 0.6671
id: 26, jct: 0.7854
id: 27, jct: 6.7184
id: 28, jct: 2.8266
id: 29, jct: 9.2921
id: 30, jct: 4.9408
id: 31, jct: 32.0165
id: 32, jct: 1.226
id: 33, jct: 15.5534
id: 34, jct: 13.2622
id: 35, jct: 2.9216
id: 36, jct: 4.1344
id: 37, jct: 2.5623
id: 38, jct: 8.1209
id: 39, jct: 16.311
id: 40, jct: 1.1973
id: 41, jct: 37.0347
id: 42, jct: 0.971
id: 43, jct: 2.3266
id: 44, jct: 23.0923
id: 45, jct: 2.2914
id: 46, jct: 7.4818
id: 47, jct: 17.5002
id: 48, jct: 24.1142
id: 49, jct: 20.2251
id: 50, jct: 2.0461
id: 51, jct: 8.604
id: 52, jct: 2.5306
id: 53, jct: 75.3342
id: 54, jct: 11.123
id: 55, jct: 2.7442
id: 56, jct: 1.1691
id: 57, jct: 2.5214
id: 58, jct: 3.4622
id: 59, jct: 10.802
id: 60, jct: 0.5869
id: 61, jct: 13.3479
id: 62, jct: 7.2296
id: 63, jct: 19.2595
id: 64, jct: 4.6385
id: 65, jct: 6.7146
id: 66, jct: 36.0571
id: 67, jct: 3.5339
id: 68, jct: 15.7609
id: 69, jct: 26.4027
id: 70, jct: 6.173
id: 71, jct: 1.7049
id: 72, jct: 17.3174
id: 73, jct: 3.8044
id: 74, jct: 13.0652
id: 75, jct: 8.6626
id: 76, jct: 16.6355
id: 77, jct: 5.8973
id: 78, jct: 1.298
id: 79, jct: 21.5812
id: 80, jct: 31.5878
id: 81, jct: 16.5174
id: 82, jct: 8.2847
id: 83, jct: 5.4838
id: 84, jct: 5.1191
id: 85, jct: 1.8503
id: 86, jct: 3.1179
id: 87, jct: 5.0104
id: 88, jct: 0.8723
id: 89, jct: 2.5322
id: 90, jct: 1.609
id: 91, jct: 8.0881
id: 92, jct: 0.7
id: 93, jct: 3.4644
id: 94, jct: 18.7887
id: 95, jct: 17.8169
id: 96, jct: 8.0195
id: 97, jct: 24.3298
id: 98, jct: 17.8173
id: 99, jct: 0.4806
